Species,AdultBodyMass_g,BasalMetRateMass_g,LitterSize,GestationLen_d,HomeRange_km2
Echymipera_davidi,817,NA,NA,NA,NA
Echymipera_echinista,1200,NA,NA,NA,NA
Echymipera_kalubu,825,697.5,2.07,13.06,0.01
Echymipera_rufescens,1050,836,2.18,NA,NA
Glironia_venusta,114,NA,NA,NA,NA
Gracilinanus_aceramarcae,20.5,NA,NA,NA,NA
Gracilinanus_agilis,22.1,NA,12,NA,NA
Gracilinanus_dryas,18.6,NA,NA,NA,NA
Gracilinanus_emiliae,7.6,NA,NA,NA,NA
Gracilinanus_marica,23.8,NA,5.99,NA,NA
Gracilinanus_microtarsus,29.6,13,NA,NA,NA
Gymnobelideus_leadbeateri,137,166,1.5,18.43,0.01
Hemibelideus_lemuroides,1000,NA,1,NA,NA
Hypsiprymnodon_moschatus,536,NA,2,NA,NA
Isoodon_auratus,425,428,2.6,12,0.12
Isoodon_macrourus,1510,1550,3.11,12.54,0.02
Isoodon_obesulus,825,NA,2.33,15,0.01
Lagorchestes_asomatus,1500,NA,1,NA,NA
Lagorchestes_conspicillatus,2820,2260,1,29.99,NA
Lagorchestes_hirsutus,1420,NA,1,NA,NA
Lagorchestes_leporides,3000,NA,1,NA,NA
Lagostrophus_fasciatus,1950,NA,1,NA,NA
Lasiorhinus_krefftii,31900,NA,1,NA,0.05
Lasiorhinus_latifrons,26200,29920,1,20.74,NA
Lestodelphys_halli,78.6,NA,NA,NA,NA
Lestoros_inca,22.2,NA,NA,NA,NA
Lutreolina_crassicaudata,557,812,6.99,14,0.00144
Macropus_agilis,11900,NA,1.01,30.62,NA
Macropus_antilopinus,27300,NA,1,34,0.5
Macropus_bernardus,17000,NA,1,NA,NA
Macropus_dorsalis,11200,NA,1,34.98,0.71
Macropus_eugenii,5280,4837,1,29,NA
Macropus_fuliginosus,25600,NA,1,30.8,2.53
Macropus_giganteus,33600,NA,1,36.56,0.42
Macropus_greyi,10000,NA,1,NA,NA
Macropus_irma,8000,NA,1,NA,NA
Macropus_parma,4160,3750,1,34.54,NA
Macropus_parryi,12700,NA,1,37.14,NA
Macropus_robustus,26000,29650,1,34.3,0.99
Macropus_rufogriseus,16800,NA,1,30.08,0.12
Macropus_rufus,39000,30617.5,1,33.08,4.08
Macrotis_lagotis,1230,1138,2,14.63,NA
Macrotis_leucura,364,NA,2,NA,NA
Marmosa_andersoni,47.4,NA,NA,NA,NA
Marmosa_canescens,48.2,NA,8.1,NA,NA
Marmosa_lepida,14,NA,5,NA,NA
Marmosa_mexicana,49.3,NA,11.6,NA,NA
Marmosa_murina,36.6,NA,5.99,13.29,NA
Marmosa_robinsoni,61.7,122,9.24,13.84,0.00157
Marmosa_rubra,63,NA,NA,NA,NA
Marmosa_tyleriana,32.4,NA,2.99,NA,NA
Marmosa_xerophila,46.2,NA,NA,NA,NA
Marmosops_cracens,26.4,NA,NA,NA,NA
Marmosops_dorothea,37.5,NA,NA,NA,NA
Marmosops_fuscatus,46,NA,5.47,NA,NA
Marmosops_handleyi,30.7,NA,NA,NA,NA
Marmosops_impavidus,41.9,NA,NA,NA,NA
Marmosops_incanus,48.9,NA,NA,NA,NA
Marmosops_invictus,29.2,NA,NA,NA,NA
Marmosops_noctivagus,29,NA,NA,NA,NA
Marmosops_parvidens,15,NA,4.05,NA,NA
Metachirus_nudicaudatus,367,336,5,NA,NA
Micoureus_alstoni,132,NA,NA,NA,NA
Micoureus_constantiae,93.1,NA,8,NA,NA
Micoureus_demerarae,111,NA,6.19,NA,NA
Micoureus_regina,119,NA,NA,NA,NA
Microperoryctes_longicauda,542,NA,1.94,NA,NA
Microperoryctes_murina,NA,NA,NA,NA,NA
Microperoryctes_papuensis,158,NA,1.03,NA,NA
Monodelphis_adusta,36.2,NA,NA,NA,NA
Monodelphis_americana,19.5,NA,NA,NA,0.000535
