Family,CName,SName,Status04,Range,Mass,Clutch,ElevRange
Phasianidae,White-necklaced Partridge,Arborophila gingica,3 (VU),277650,253,6,1200
Phasianidae,Red-breasted Partridge,Arborophila hyperythra,1 (LC),90191,270,NA,1200
Phasianidae,Chestnut-bellied Partridge,Arborophila javanica,1 (LC),51990,272,4,2700
Phasianidae,Red-billed Partridge,Arborophila rubrirostris,1 (LC),152310,243,NA,1600
Phasianidae,Sichuan Partridge,Arborophila rufipectus,4 (EN),29585,440,5.5,1000
Phasianidae,Rufous-throated Partridge,Arborophila rufogularis,1 (LC),713640,250,4.5,2300
Phasianidae,Grey-breasted Hill-partridge,Arborophila sumatrana,1 (LC),165051,268.5,3,600
Phasianidae,Hill Partridge,Arborophila torqueola,1 (LC),630336,377.5,4,1200
Phasianidae,Great Argus,Argusianus argus,2 (NT),1286897,2361,2,1500
Phasianidae,Chinese Bamboo-Partridge,Bambusicola thoracica,1 (LC),1257463,269.5,5,2000
Tetraonidae,Hazel Grouse,Bonasa bonasia,1 (LC),12146196,429,9,1700
Tetraonidae,Chinese Grouse,Bonasa sewerzowi,2 (NT),394177,270,6.5,3000
Tetraonidae,Ruffed Grouse,Bonasa umbellus,1 (LC),7663613,621,11,2438
Phasianidae,California Quail,Callipepla californica,1 (LC),914168,176,15,915
Phasianidae,Elegant Quail,Callipepla douglasii,1 (LC),243690,175,10,915
Phasianidae,Gambel's Quail,Callipepla gambelii,1 (LC),658617,170,13,1586
Phasianidae,Scaled Quail,Callipepla squamata,1 (LC),1453997,191,12,1300
Phasianidae,Ferruginous Partridge,Caloperdix oculea,2 (NT),711536,190,9,1000
Phasianidae,Cheer Pheasant,Catreus wallichi,3 (VU),243834,1587.5,9.5,1850
Tetraonidae,Greater Sage Grouse,Centrocercus urophasianus,2 (NT),786148,3190,7.5,2438
Cracidae,Sickle-winged Guan,Chamaepetes goudotii,1 (LC),517169,645,3.25,2500
Cracidae,Black Guan,Chamaepetes unicolor,2 (NT),86733,1135,2.5,1500
Phasianidae,Lady Amherst's Pheasant,Chrysolophus amherstiae,1 (LC),544941,762.5,6.2,1500
Phasianidae,Golden Pheasant,Chrysolophus pictus,1 (LC),837751,642.5,8.5,1980
Phasianidae,Crested Bobwhite,Colinus cristatus,1 (LC),660948,139,12,3200
Phasianidae,Black-throated Bobwhite,Colinus nigrogularis,1 (LC),124363,127,NA,500
Phasianidae,Northern Bobwhite,Colinus virginianus,2 (NT),3456133,178,13.45,2500
Phasianidae,Blue Quail,Coturnix adansonii,1 (LC),10052604,44.5,6,NA
Phasianidae,Blue-breasted Quail,Coturnix chinensis,1 (LC),9133886,35.5,5.5,2000
Phasianidae,Rain Quail,Coturnix coromandelica,1 (LC),4330048,74.5,5,2000
Phasianidae,Common Quail,Coturnix coturnix,1 (LC),21386875,90,10.5,1000
Phasianidae,Harlequin Quail,Coturnix delegorguei,1 (LC),10669945,76,6,NA
Phasianidae,Japanese Quail,Coturnix japonica,1 (LC),2379659,90,9.5,1000
Phasianidae,Stubble Quail,Coturnix pectoralis,1 (LC),1812155,114,7.5,NA
Phasianidae,Brown Quail,Coturnix ypsilophora,1 (LC),3273324,79.3,9,3600
Cracidae,Blue-billed Curassow,Crax alberti,5 (CR),175709,3100,2,600
Cracidae,Black Curassow,Crax alector,1 (LC),1787274,3400,2,1700
Cracidae,Red-billed Curassow,Crax blumenbachii,4 (EN),77406,3500,2,500
Cracidae,Yellow-knobbed Curassow,Crax daubentoni,2 (NT),483075,3100,2,1400
Cracidae,Bare-faced Curassow,Crax fasciolata,1 (LC),3489852,2515,2,900
Cracidae,Wattled Curassow,Crax globulosa,3 (VU),1988573,2500,2,300
Cracidae,Great Curassow,Crax rubra,2 (NT),926767,4133,2,1900
Phasianidae,Blue Eared-Pheasant,Crossoptilon auritum,1 (LC),481306,1905,8,1525
Phasianidae,White Eared-pheasant,Crossoptilon crossoptilon,2 (NT),NA,2550,6.5,1300
Phasianidae,Tibetan Eared-pheasant,Crossoptilon harmani,2 (NT),873775,2062.5,9,1600
Phasianidae,Brown Eared-Pheasant,Crossoptilon mantchuricum,3 (VU),51688,2050,9,1200
Phasianidae,Montezuma Quail,Cyrtonyx montezumae,1 (LC),653213,195,11.1,1940
Phasianidae,Ocellated Quail,Cyrtonyx ocellatus,2 (NT),139799,218,NA,2300
Phasianidae,Singing Quail,Dactylortyx thoracicus,1 (LC),347058,223,5,2000
Tetraonidae,Spruce Grouse,Dendragapus canadensis,1 (LC),7670606,492,5.5,2439
Tetraonidae,Siberian Grouse,Dendragapus fa1 (LC)ipennis,2 (NT),1459610,600,8,NA
Tetraonidae,Blue Grouse,Dendragapus obscurus,1 (LC),2119114,1188,7,3600
Phasianidae,Bearded Wood-partridge,Dendrortyx barbatus,3 (VU),42680,432,NA,1000
Phasianidae,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,1 (LC),117758,350,4.5,2600
Phasianidae,Long-tailed Wood-partridge,Dendrortyx macroura,1 (LC),204285,431,4,1800
Megapodiidae,Moluccan Megapode,Eulipoa wallacei,3 (VU),39585,498.8,NA,1250
Phasianidae,Red-billed Francolin,Francolinus adspersus,1 (LC),1066927,465,7,NA
Phasianidae,Red-necked Spurfowl,Francolinus afer,1 (LC),5625374,693.5,6,NA
Phasianidae,Grey-winged Francolin,Francolinus africanus,1 (LC),640220,423,5,950
Phasianidae,Ahanta Francolin,Francolinus ahantensis,1 (LC),426778,608,5,NA
Phasianidae,White-throated Francolin,Francolinus albogularis,1 (LC),1705058,276,6,NA
Phasianidae,Double-spurred Francolin,Francolinus bica1 (LC)aratus,1 (LC),3903458,507,6,NA
Phasianidae,Mount Cameroon Francolin,Francolinus camerunensis,4 (EN),15500,593,NA,1250
Phasianidae,Cape Francolin,Francolinus capensis,1 (LC),298889,757.5,7.4,NA
Phasianidae,Chestnut-naped Francolin,Francolinus castaneicollis,1 (LC),464680,1057.5,5.5,2800
Phasianidae,Clapperton's Francolin,Francolinus clappertoni,1 (LC),3467045,604,NA,2300
Phasianidae,Coqui Francolin,Francolinus coqui,1 (LC),4512215,262,4.5,2200
Phasianidae,Erckel's Francolin,Francolinus erckelii,1 (LC),250575,1350,7,1500
Phasianidae,Finsch's Francolin,Francolinus finschi,1 (LC),227965,560,5,600
Phasianidae,Black Francolin,Francolinus francolinus,1 (LC),3153904,482,9.5,2500
Phasianidae,Grey-striped Francolin,Francolinus griseostriatus,3 (VU),64365,410,NA,400
Phasianidae,Swamp Francolin,Francolinus gularis,3 (VU),545029,510,3.5,300
Phasianidae,Hartlaub's Francolin,Francolinus hartlaubi,1 (LC),426996,267.5,6,NA
Phasianidae,Harwood's Francolin,Francolinus harwoodi,3 (VU),55283,545,5.5,NA
Phasianidae,Hildebrandt's Francolin,Francolinus hildebrandti,1 (LC),1226425,622.5,6,500
Phasianidae,Heuglin's Francolin,Francolinus icterorhynchus,1 (LC),1981927,571,7,900
Phasianidae,Jackson's Francolin,Francolinus jacksoni,1 (LC),109880,1147,3,1500
Phasianidae,Forest Francolin,Francolinus lathami,1 (LC),3061582,269,2,1400
Phasianidae,Red-winged Francolin,Francolinus levaillantii,1 (LC),1085846,463,5,1200
Phasianidae,Orange River Francolin,Francolinus levaillantoides,1 (LC),1971722,449,6.5,NA
Phasianidae,Nahan's Francolin,Francolinus nahani,4 (EN),124405,310,4,1400
Phasianidae,Natal Francolin,Francolinus natalensis,1 (LC),1338168,606,5,1800
Phasianidae,Handsome Francolin,Francolinus nobilis,1 (LC),123920,878.5,NA,2900
Phasianidae,Djibouti Francolin,Francolinus ochropectus,5 (CR),8903,940,NA,800
Phasianidae,Painted Francolin,Francolinus pictus,1 (LC),1605388,291,5,1200
Phasianidae,Chinese Francolin,Francolinus pintadeanus,1 (LC),2667395,367.5,4.5,1500
Phasianidae,Grey Francolin,Francolinus pondicerianus,1 (LC),3190820,274,7.5,NA
Phasianidae,Grey-breasted Spurfowl,Francolinus rufopictus,1 (LC),51092,848,4.5,NA
Phasianidae,Schlegel's Francolin,Francolinus schlegelii,1 (LC),730652,251,3.5,NA
Phasianidae,Crested Francolin,Francolinus sephaena,1 (LC),4719971,245,6,2200
Phasianidae,Shelley's Francolin,Francolinus shelleyi,1 (LC),1397998,488,4.5,3000
Phasianidae,Scaly Francolin,Francolinus squamatus,1 (LC),2629215,468.5,6,2200
