generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.75808,-953.722,1,1
1000000,3,22.1247,-875.926,1.24527,0.445565
2000000,4,24.4538,-878.092,1.90521,0.375119
3000000,6,39.2186,-877.728,3.02527,0.458781
4000000,3,20.9581,-887.254,2.3075,0.42842
5000000,2,15.3305,-885.275,2.79564,0.42891
6000000,9,40.2281,-875.821,5.74995,0.434012
7000000,4,23.4709,-876.327,2.57522,0.420592
8000000,5,30.7763,-879.696,3.12232,0.456673
9000000,6,33.8826,-877.068,2.46585,0.436069
10000000,5,31.6874,-870.928,3.7226,0.39312
11000000,5,28.4555,-878.074,3.43776,0.44309
12000000,6,33.8544,-872.75,2.97317,0.429444
13000000,5,29.1492,-877.712,2.56406,0.429184
14000000,4,25.0835,-877.226,2.1559,0.446537
15000000,3,22.6105,-885.194,1.93312,0.421642
16000000,6,36.2052,-880.516,4.60318,0.444844
17000000,3,23.3489,-883.349,0.900493,0.446032
18000000,5,29.9057,-879.619,2.24934,0.426894
19000000,3,19.2405,-887.614,1.8091,0.416424
20000000,6,34.2842,-877.236,4.74909,0.376624
21000000,2,16.8769,-891.07,2.07747,0.461377
22000000,1,11.2975,-899.207,1.17124,0.455798
23000000,6,38.5817,-878.389,3.94983,0.440653
24000000,3,20.5483,-882.828,1.31875,0.440288
25000000,2,18.1105,-885.134,0.699598,0.443432
26000000,5,28.1828,-896.95,1.68254,0.394679
27000000,6,38.0008,-881.708,2.83878,0.456317
28000000,7,37.8433,-879.269,4.33136,0.432518
29000000,2,14.8569,-885,1.30702,0.463944
30000000,1,8.70598,-894.107,0.791544,0.428252
31000000,5,31.747,-876.346,2.44949,0.40434
32000000,3,24.3611,-874.799,0.551766,0.459546
33000000,2,17.7207,-885.758,0.342865,0.40624
34000000,2,16.723,-887.119,1.02274,0.448713
35000000,6,33.4604,-887.61,5.51593,0.456458
36000000,2,16.6576,-889.662,1.91541,0.426336
37000000,5,31.458,-874.116,4.03642,0.449094
38000000,4,26.3059,-878.575,2.34697,0.444545
39000000,5,31.7169,-886.221,1.22391,0.445371
40000000,3,17.8384,-880.995,2.94626,0.455846
41000000,5,27.5926,-877.153,2.87922,0.434324
42000000,2,15.1234,-888.693,2.44111,0.435961
43000000,3,21.1442,-872.011,0.742415,0.437093
44000000,6,30.4316,-882.141,2.13991,0.4468
45000000,7,37.2069,-874.084,1.51304,0.40068
46000000,2,15.5607,-887.049,2.45553,0.422225
47000000,4,26.0795,-876.805,1.02831,0.432131
48000000,5,25.6127,-878.857,4.34213,0.459076
49000000,7,38.7805,-873.916,4.04742,0.44799
50000000,7,36.061,-872.188,4.68977,0.431618
51000000,5,29.4677,-875.115,4.15699,0.453986
52000000,4,24.2757,-889.278,1.32364,0.392402
53000000,0,6.04502,-903.386,0.145968,0.418191
54000000,4,23.452,-873.438,3.6903,0.408563
55000000,7,38.3574,-867.311,3.78156,0.450095
56000000,3,20.8723,-880.232,2.7996,0.449784
57000000,5,28.7715,-877.82,5.32671,0.423921
58000000,3,21.9926,-876.864,1.48917,0.437418
59000000,1,10.7645,-895.598,0.596684,0.458832
60000000,3,23.4617,-888.098,0.915119,0.386112
61000000,2,15.5526,-892.982,2.14374,0.429146
62000000,6,31.4189,-871.49,7.574,0.460473
63000000,3,17.8695,-879.813,1.63438,0.437124
64000000,4,24.5372,-882.727,1.40106,0.422963
65000000,3,18.3904,-880.062,2.46296,0.435161
66000000,5,29.8732,-874.08,3.80058,0.409104
67000000,4,24.1762,-881.968,0.486693,0.449747
68000000,2,15.5915,-884.313,2.03779,0.437029
69000000,5,33.266,-872.995,2.24077,0.46586
70000000,1,10.4814,-899.928,0.437716,0.411555
71000000,6,32.5593,-868.699,5.38053,0.454903
72000000,4,21.6804,-878.146,5.45436,0.439329
73000000,9,55.1591,-870.65,4.97127,0.41398
74000000,3,19.2264,-884.47,1.98901,0.460448
75000000,1,6.82626,-895.739,2.42128,0.420524
76000000,4,29.0478,-886.976,1.46406,0.433233
77000000,5,34.0783,-878.006,1.19273,0.461489
78000000,4,29.668,-879.743,0.683622,0.452059
79000000,3,22.4087,-878.367,1.24239,0.449427
80000000,3,17.0636,-873.038,1.04443,0.438887
81000000,3,17.6057,-891.515,2.35704,0.432929
82000000,2,14.276,-887.066,1.77657,0.40821
83000000,4,28.1994,-880.945,1.8607,0.444798
84000000,3,20.6299,-890.135,0.835073,0.418144
85000000,4,23.2576,-886.338,4.365,0.446887
86000000,6,34.2519,-881.345,4.63877,0.436729
87000000,6,33.3114,-877.657,4.17871,0.438751
88000000,6,34.5807,-881.246,5.00686,0.461924
89000000,2,17.3026,-894.209,0.785249,0.434738
90000000,4,22.1648,-890.258,1.72805,0.426931
91000000,6,36.6005,-874.885,2.664,0.419518
92000000,4,27.8151,-892.151,0.691227,0.437499
93000000,7,41.5018,-878.132,2.78247,0.459137
94000000,1,10.2455,-894.269,0.775745,0.412416
95000000,3,20.8008,-878.218,1.47246,0.410637
96000000,4,25.1465,-884.26,3.6791,0.442979
97000000,3,20.1772,-881.68,3.68753,0.464031
98000000,6,32.0165,-877.684,5.21837,0.407256
99000000,6,27.9275,-867.84,6.06695,0.454367
100000000,2,13.7526,-883.136,0.686406,0.402745
101000000,7,41.925,-875.471,2.0784,0.430258
102000000,3,19.7184,-875.058,4.05353,0.407952
103000000,4,25.4142,-894.728,1.60821,0.422184
104000000,4,21.1454,-882.755,2.7841,0.420771
105000000,4,27.5689,-879.217,2.42162,0.429247
106000000,3,19.7274,-881.43,1.40791,0.411039
107000000,4,28.0788,-885.298,0.90409,0.428662
108000000,3,20.6214,-894.668,2.46625,0.401944
109000000,2,16.832,-883.574,0.828096,0.439419
110000000,6,31.7185,-881.115,1.9431,0.422472
111000000,4,22.7735,-882.204,2.90647,0.457891
112000000,8,41.3392,-885.573,4.49841,0.398781
113000000,5,30.5327,-884.235,2.4614,0.444349
114000000,1,9.8929,-897.644,1.45598,0.423301
115000000,4,25.0532,-882.211,3.08872,0.457059
116000000,6,32.6169,-873.53,3.14392,0.435673
117000000,4,17.5943,-877.376,1.61005,0.444015
118000000,5,28.2051,-880.867,3.55274,0.441603
119000000,5,31.39,-872.484,2.92521,0.451051
120000000,2,16.7146,-882.631,1.04558,0.417776
121000000,4,21.7815,-871.87,2.90533,0.409355
122000000,3,23.0094,-878.712,0.801508,0.422426
123000000,5,32.2269,-879.107,2.63515,0.46505
124000000,4,21.6309,-881.97,4.20735,0.418625
125000000,5,32.8869,-875.559,2.1266,0.418475
126000000,4,27.9265,-880.166,1.72566,0.462912
127000000,3,21.5728,-886.186,1.082,0.414496
128000000,3,18.5354,-883.247,4.18644,0.437836
129000000,3,18.1478,-882.607,2.19861,0.430267
130000000,4,24.3003,-874.413,1.23046,0.413667
131000000,2,18.2146,-885.492,0.517396,0.463219
132000000,9,46.2501,-876.481,4.94034,0.384935
133000000,5,33.3611,-882.651,1.66644,0.449709
134000000,6,36.5836,-881.789,4.33205,0.415897
135000000,4,25.1439,-873.142,1.74896,0.411131
136000000,4,26.1335,-875.583,2.67747,0.401747
137000000,5,22.8041,-872.735,1.44997,0.433298
138000000,3,19.8179,-876.45,2.87049,0.398026
139000000,5,30.442,-875.642,2.447,0.453458
140000000,7,42.2726,-880.411,2.75939,0.462466
141000000,6,29.8799,-881.168,3.50598,0.464286
142000000,2,10.7326,-880.924,1.95639,0.462394
143000000,2,17.8497,-895.65,0.351477,0.424123
144000000,4,27.4717,-875.735,2.77459,0.435433
145000000,4,26.1747,-881.321,2.49114,0.42082
146000000,4,27.1925,-880.062,2.27583,0.463523
147000000,4,27.7333,-873.464,1.78527,0.412227
148000000,8,45.7797,-874.717,2.78944,0.408125
149000000,8,40.5979,-875.532,2.60111,0.444421
150000000,5,29.199,-879.858,3.09179,0.433709
151000000,3,15.0693,-882.56,3.96004,0.394265
152000000,5,31.5465,-876.393,2.96555,0.441356
153000000,3,22.8702,-879.938,0.896232,0.457437
154000000,4,26.1249,-877.124,2.16913,0.462804
155000000,4,24.6586,-880.318,3.08882,0.444306
156000000,5,25.8294,-882.549,2.54489,0.435553
157000000,6,29.0212,-872.309,3.93093,0.447341
158000000,6,35.3373,-883.498,3.11516,0.458604
159000000,3,18.3885,-872.041,3.13409,0.441765
160000000,2,18.4991,-888.453,0.588523,0.440524
161000000,4,29.0707,-875.459,1.6867,0.438489
162000000,4,23.9837,-881.965,4.77938,0.413366
163000000,4,22.6093,-878.999,3.85042,0.430077
164000000,4,24.449,-872.639,2.41197,0.439176
165000000,4,28.4395,-878.932,1.42942,0.458591
166000000,4,25.9143,-879.359,3.87394,0.426332
167000000,4,22.7583,-871.433,1.64664,0.463623
168000000,5,28.6435,-879.96,3.98998,0.462249
169000000,3,21.7076,-878.305,1.46393,0.415062
170000000,4,25.6274,-877.133,1.39814,0.457607
171000000,2,17.9672,-889.532,0.613284,0.414908
172000000,2,15.8525,-889.413,1.1631,0.420012
173000000,3,23.1579,-875.876,1.15785,0.418976
174000000,4,25.9389,-884.457,1.84989,0.43148
175000000,2,15.8186,-888.638,1.30603,0.453431
176000000,1,7.88768,-900.402,4.14274,0.428347
177000000,2,17.2352,-885.376,0.569176,0.428674
178000000,4,25.1664,-880.499,2.05693,0.444591
179000000,9,49.9185,-879.951,5.04735,0.445584
180000000,6,31.01,-879.133,4.17169,0.441218
181000000,3,18.7424,-888.694,2.32356,0.451847
182000000,3,20.7301,-881.709,2.11771,0.465245
